playername,PCA_0,PCA_1,PCA_2,PCA_3
David Alaba,5.925109970440345,-1.7292057115145625,1.2922561826141157,-0.5179301715721542
David Garcia,-2.8794700696134945,-0.8656477624121987,1.0149783525005114,0.15043973579656122
David Lopez,0.23669492310445198,-0.7409025261366532,0.6409536166185527,-0.4583132467772563
David Timor,-2.67907221471046,-1.812951910967554,3.03402387453083,0.3593148220754794
Davide Biraschi,-0.10119708242425515,1.9092004734179244,-0.2206575328421319,-1.5217991917706577
Davinson Sanchez,0.6933512308370731,-1.2369270059326747,-1.178120305089635,-0.10277906975139778
Dayot Upamecano,4.355259084156573,1.0372326712238569,-0.344616724016379,-0.4077400166213782
Declan Rice,-3.3279026353810663,-0.13029853507241673,-0.27441036589788925,-0.6101850417028797
Dedryck Boyata,-0.8623446776219551,-0.7682419531236087,-0.3717540428237568,1.4111502550577812
Denis Vavro,-0.8657344384949185,-1.8553537740138826,0.8101421089098833,-0.9342795155694654
Denys Bain,-1.8340634079553353,-0.6333618792637001,-1.2664307028276631,1.213568072489432
Diego Carlos,-0.19611285100137454,-0.6143895504121247,-0.15254596268966378,0.3450707913110803
Diego Godin,-0.45547969036505237,0.7829370643776917,0.6469109316118592,-0.012100881862160675
Diego Gonzalez,-2.3641520750477985,-0.13319904253332265,-0.8002087283298571,0.7065351584845045
Diego Llorente,0.248141567595024,-0.3210591769553097,-0.8747759940480213,0.5855124126117878
Dimitris Nikolaou,-1.0432815975136263,-0.6337089520708618,-1.0840917602317963,-0.6731212148484209
Djene,-3.853277776831139,0.7610357692520003,1.5164212228493352,-0.8039228650085964
Domenico Criscito,0.5749465505912769,2.4673999515370575,0.3098193253397045,1.6438294825392499
Domingos Duarte,-3.2115500974988787,-1.1984508619964425,0.8643499182943748,0.6007185242001003
Dominique Heintz,0.50928772711016,0.0914606674342847,0.4293074608068432,-1.0226161858974645
Duje Caleta Car,0.07232384182549322,-2.1933791347346085,-0.30703737865535935,0.4369392029715655
Dylan Bronn,-1.3339832431886887,-0.08076915220497276,0.35806619892790936,0.16903903499849401
Eder Militao,0.8525359993451264,-0.10049384711854778,-0.17666554693692846,-0.03336778624596428
Edgar Gonzalez,0.31577589613221013,-0.26562021123526647,-0.49101639346863324,-0.5274441512028362
